ordinal,node_id,title_zh_tw,node_type,status,verification_mode,rh_claim
1,RH-W-01,Weil 測試函數空間與生成族固定,ANALYTIC_FOUNDATION,DOCUMENTED_DERIVATION,DOCUMENT_REVIEW,false
2,RH-W-02,核心值域、拓撲與正規化閉合,ANALYTIC_FOUNDATION,DOCUMENTED_DERIVATION,DOCUMENT_REVIEW,false
3,RH-W-03,緊支撐分離與雙核心架構,STRUCTURAL_BRIDGE,LITERATURE_GROUNDED_STRUCTURAL_RESULT,DOCUMENT_AND_SOURCE_REVIEW,false
4,RH-W-04,有限維完備性與有理負證書協議,PROTOCOL,PROTOCOL_ONLY,EXECUTABLE_PROTOCOL_SELFTEST,false
5,RH-W-05,第一份真實 zeta 二維 Weil 區間矩陣,NUMERICAL_MATRIX,VERIFIED,EXACT_INTERVAL_REPLAY,false
6,RH-W-06,第一素數活化與五維穩定化,NUMERICAL_MATRIX,LEGACY_INCOMPLETE,PARTIAL_EXECUTABLE_AUDIT,false
7,RH-W-07,多素數冪腔室編譯器,NUMERICAL_MATRIX,VERIFIED,EXACT_INTERVAL_REPLAY,false
8,RH-W-08,自動腔室搜尋與嚴格細化,NUMERICAL_MATRIX,VERIFIED,EXACT_INTERVAL_REPLAY,false
9,RH-W-09,自適應延拓與十億分之一裕度,NUMERICAL_MATRIX,VERIFIED,EXACT_INTERVAL_REPLAY,false
10,RH-W-10,素數邊界局部模態與七階軟啟動,STRUCTURAL_IDENTITY_AND_MATRIX,VERIFIED,EXACT_SYMBOLIC_AND_INTERVAL_REPLAY,false
11,RH-W-11,核靈敏度與正則性對偶,STRUCTURAL_IDENTITY,VERIFIED,EXACT_SYMBOLIC_REPLAY,false
12,RH-W-12,混合階字典與交叉抵消模態,NUMERICAL_MATRIX,VERIFIED,EXACT_INTERVAL_REPLAY,false
13,RH-W-13,跨正則性近零譜帶與一致量化審計,NUMERICAL_MATRIX,VERIFIED,EXACT_INTERVAL_REPLAY,false
14,RH-W-14,第一個嚴格二維低譜參數管,PARAMETER_REGION,SUPERSEDED_RECERTIFIED,SUPERSEDED_THEN_EXACTLY_RECERTIFIED,false
15,RH-W-15,Interval–Taylor 參數管擴張與尾修正,PARAMETER_REGION,VERIFIED,EXACT_INTERVAL_TAYLOR_REPLAY,false
16,RH-W-16,三參數近零譜管,PARAMETER_REGION,VERIFIED,EXACT_TRILINEAR_REPLAY,false
17,RH-W-17,腔室感知切分與事件薄層,CHAMBER_COVER,VERIFIED,EXACT_CLOSED_COVER_REPLAY,false
18,RH-W-18,統一證書後端與歷史狀態模型,CERTIFICATE_BACKEND,VERIFIED,BACKEND_REPLAY,false
19,RH-W-19,可重現性與對抗性證書審計,ADVERSARIAL_AUDIT,VERIFIED,BACKEND_AND_REDTEAM_REPLAY,false
20,RH-W-20,Batch 01 統合與 AI 自主數學研究平台 Case 0001 發行,BATCH_RELEASE,VERIFIED_RELEASE,RELEASE_SCHEMA_AND_BACKEND_REPLAY,false
