id,status,statement,evidence,next_action
RH-W-12-CROSS-ARCH,CLOSED,"degree 3/5/7 阿基米德尾界泛化","mixed_order_core.py; CROSSCHECK.txt","形式化導數與尾界引理"
RH-W-12-CROSS-PRIME,CLOSED,"每個 block 自動枚舉 prime-power 與 spline piece","mixed_10x10_interval.json; verify_mixed_dictionary.py","擴張到更大支撐"
RH-W-12-GRAM-CONDITION,CLOSED,"十維 mixed Gram exact 正定","EXACT_VERIFY.txt","研究更大 N 的條件數"
RH-W-12-MIXED-POSITIVITY,CLOSED,"mixed generalized spectral lower bound >1/2000","exact rational LDLT","沿低模態延拓"
RH-W-12-MIXED-UPPER-WITNESS,CLOSED,"mixed generalized spectral upper bound <1/1000","integer witness interval Rayleigh bound","自動 witness rationalization"
RH-W-12-CROSS-CANCELLATION,CLOSED,"兩 self-block 正、cross-block 負且總和正","exact interval channel decomposition","研究穩定性與幾何來源"
RH-W-12-COMPLETENESS,OPEN,"有限 mixed dictionary 尚非完備族","scope audit","設計 h→0,N→∞,support→∞ 路徑"
RH-W-12-FORMAL-BACKEND,OPEN,"尚未移植 Lean/Coq/Isabelle","software trust boundary","形式化 IV/LDLT/B-spline lemma"
RH-W-12-MIXED-PARAMETER-CONTINUATION,OPEN,"尚未沿 mixed lowest mode 自適應延拓","next node RH-W-13","加入 channel weight alpha"
RH-W-12-NEGATIVE-WITNESS,OPEN,"未找到真實 Weil 負 witness","all current certificates positive","保持反例搜尋但提高審核門檻"
