id,status,description
RH-W-14-GENUINE-PARAMETERS,CLOSED,Separated alpha gauge scaling from genuine d and sigma subspace parameters
RH-W-14-WEIL-LIPSCHITZ,CLOSED,Certified global center Lipschitz bounds for correlation degrees 3 5 7
RH-W-14-GRAM-LIPSCHITZ,CLOSED,Certified Gram center derivative bound 1 over h
RH-W-14-CHAMBER-STABILITY,CLOSED,Prime-power activation graph and spline pieces constant on the full tube
RH-W-14-CONTINUOUS-LOWER,CLOSED,Exact lower bound lambda_min greater than 1e-8 on the full tube
RH-W-14-CONTINUOUS-UPPER,CLOSED,Fixed rational witness gives lambda_min less than 5e-8 on the full tube
RH-W-14-H-DIRECTION,OPEN,Scale h is fixed in this round
RH-W-14-LARGE-TUBE,OPEN,Current tube width is limited by conservative global Lipschitz bounds
RH-W-14-TOPOLOGY,OPEN,Global topology and connectivity of the near-zero set are unknown
RH-W-14-DIMENSION-CONTINUATION,OPEN,No simultaneous continuation in dictionary dimension N
TRUE-WEIL-NEGATIVE-WITNESS,NOT_FOUND,No negative true Weil witness found
