id,status,summary,evidence
RH-W-16-H-SCALE-DIRECTION,CLOSED,h is a genuine dictionary parameter,01_RH-W-16_三參數近零譜管_v0.1.md
RH-W-16-H-CURVATURE-BOUND,CLOSED,degree 3/5/7 scale curvature bounds,three_parameter_tube_certificate.json
RH-W-16-EIGHT-CORNER-COMPILER,CLOSED,eight rigorous corner matrices,three_parameter_tube_certificate.json
RH-W-16-3D-TUBE-LOWER,CLOSED,lambda_min greater than 1e-8 on full box,EXACT_VERIFY.txt
RH-W-16-3D-TUBE-UPPER,CLOSED,lambda_min less than 5e-8 on full box,EXACT_VERIFY.txt
RH-W-16-SELF-CONTAINED-PACKAGE,CLOSED,shared modules included,README.md
RH-W-16-H-RADIUS-MAXIMIZATION,OPEN,maximal h radius not searched,
RH-W-16-MIXED-HESSIAN-SHARPENING,OPEN,mixed derivative signs not exploited,
RH-W-16-FORMAL-BACKEND,OPEN,no proof assistant backend,
TRUE-WEIL-NEGATIVE-WITNESS,OPEN,not found,
