id,status,description
W19-G01,DONE,unindexed executable/json payload detection
W19-G02,DONE,dependency DAG validation
W19-G03,DONE,status inflation rejection
W19-G04,DONE,prime-power omission replay
W19-G05,DONE,polynomial-piece mislabel replay
W19-G06,DONE,closed-cover gap replay
W19-G07,DONE,inward interval minimal counterexample
W19-G08,DONE,tail omission minimal counterexample
W19-G09,DONE,Hilbert-14 floating false negative
W19-G10,OPEN_EXTERNAL,signed release trust root
W19-G11,OPEN_EXTERNAL,independent second verifier
W19-G12,OPEN_LEGACY,recover missing W06 2x2 artifact
