id,title,status,scope,next_dependency
RH-W-08-GRID,固定腔室搜尋網格,CLOSED_FOR_FIXED_GRID,122 chambers,adaptive continuation
RH-W-08-GENERALIZED-SPECTRUM,以Gram矩陣計算廣義Rayleigh值,CLOSED,translated cubic B-splines,nonuniform basis
RH-W-08-RANKING,候選排序與第一名選取,CLOSED_FOR_RECORDED_RUN,float exploration only,repeatability across backends
RH-W-08-PRIME-ENUM,完整prime-power支撐枚舉,CLOSED_FOR_SELECTED_CHAMBER,n<=27,generic unbounded compiler
RH-W-08-ARCH-SIGNED-TAIL,保留導數符號的阿基米德尾界,CLOSED_FOR_BETA7,compact beta7 correlations,higher degrees
RH-W-08-REFINE-13D,十三維區間矩陣重建,CLOSED_POSITIVE_GENERALIZED_MARGIN,h=3/20 d=9/40 N=13,local continuation
RH-W-08-EXACT-VERIFY,純有理廣義正裕度驗證,CLOSED_FOR_SUPPLIED_INTERVALS,delta=1/100000,formal backend
RH-W-08-ADAPTIVE,自適應腔室細分,OPEN_ENGINEERING,parameter neighborhood,RH-W-09
RH-W-08-NEGATIVE,真實負證人,NOT_FOUND,all searched chambers,unknown
RH-W-08-GLOBAL,由有限搜尋推及RH,PROHIBITED_INFERENCE,none,requires all support scales
RH-W-08-FORMAL,Lean或Coq形式化後端,OPEN,interval generator and LDL,formal library
