id,title,status,scope,next_action
RH-W-05-FORMULA-LOCK,顯式公式與符號固定,CLOSED,Clay-Suzuki additive formula,保持 normalization hash
RH-W-05-SPLINE-ADMISSIBILITY,B-spline 相關函數合法性,CLOSED_FOR_W_CLASS,C6 compact piecewise polynomial,未來補形式化類別證明
RH-W-05-PRIME-EMPTY,低支撐素數項排除,CLOSED,max support 3/10 < log2,下一版跨過 log2
RH-W-05-ARCH-SERIES,阿基米德奇異積分級數化,CLOSED_FOR_CURRENT_BASIS,paired convergent series,保持不可拆分規則
RH-W-05-ARCH-TAIL,無窮尾嚴格包絡,CLOSED_FOR_ORDER_6,K=200 and six integrations by parts,提升階數縮窄
RH-W-05-TRANSCENDENTAL,超越常數區間,CLOSED_UNDER_DECIMAL_CONTRACT,CPython Decimal exp plus rational series,建立純有理 exp 核心
RH-W-05-MATRIX-2D,真實二維 Weil 矩陣,CLOSED_POSITIVE,two translated cubic B-splines,保存證書
RH-W-05-PRIME-ACTIVE,非零素數採樣區間,OPEN_ENGINEERING,log2 < support < log3,只啟動 n=2
RH-W-05-HIGH-DIM,高維矩陣包絡,OPEN_ENGINEERING,N>2,研究區間膨脹與稀疏 witness
RH-W-05-NEGATIVE-WITNESS,真實負方向,NOT_FOUND,current 2D space positive,不得宣稱反例
RH-W-05-FORMAL-BACKEND,移除 Decimal 信任,OPEN,pure rational exp or proof assistant,建立第二驗證後端
