citation	doi	role
Gould 2002	10.1086/341744	self-reinforcing status ranking
Magee & Galinsky 2008	10.5465/19416520802211628	self-reinforcing hierarchy
Bendersky & Pai 2018	10.1146/annurev-orgpsych-032117-104602	dynamic status maintenance/loss
Smith & Faris 2015	10.1016/j.socnet.2014.10.004	long-run persistence with short-run mobility
Overton 2021	10.1177/01902725211042313	status transfer by association
Henrich & Gil-White 2001	10.1016/S1090-5138(00)00071-4	prestige/deference/cultural transmission
Jiménez & Mesoudi 2019	10.1057/s41599-019-0228-7	prestige-biased social learning
Berl et al. 2021	10.1017/ehs.2021.37	prestige + narrative transmission
Moore 1970	10.2307/2943247	Tokugawa adoption preserves hereditary status
Kumanomido & Takayasu 2026	10.1111/ehr.70132	adoption and elite persistence in prewar Japan
Sauder, Lynn & Podolny 2012	10.1146/annurev-soc-071811-145503	organizational status and networks
Ridgeway 2026	10.1093/9780197852729.003.0132	multilevel relational definition of status
