claim_id,nodes,status,scope,formalized,rh_claim,statement
B01-C01,RH-W-01;RH-W-02,PROVED_IN_DOCUMENTED_DERIVATION,FUNCTION_SPACE_CORE,false,false,在指定緊支撐平滑類中，$D(D+1)$ 的值域精確為雙消失矩核心 $\mathcal C_{00}$。
B01-C02,RH-W-02,PROVED_IN_DOCUMENTED_DERIVATION,NORMALIZATION,false,false,在雙消失矩相關核心上，Bombieri/Clay 算術正規化與 Weil 協方差正規化對齊。
B01-C03,RH-W-03,LITERATURE_GROUNDED_STRUCTURAL_RESULT,FULL_WEIL_CORE_NOT_C00_ONLY,false,false,若 RH 為假，完整 Weil 測試框架存在有限對數支撐的負證人。
B01-C04,RH-W-04,PROTOCOL_AND_CONDITIONAL_ARGUMENT,FINITE_CERTIFICATE_PROTOCOL,false,false,在指定稠密有限字典與連續二次型假設下，真實有限負方向最終可由有限子空間及有理 witness 檢出。
B01-C05,RH-W-05;RH-W-07;RH-W-08;RH-W-09,EXACT_NUMERICAL_CERTIFICATES,ONLY_LISTED_FINITE_SUBSPACES,false,false,多個指定有限 B-spline 子空間上的真實 Weil 區間矩陣被嚴格證明正定。
B01-C06,RH-W-10;RH-W-11,EXACT_STRUCTURAL_IDENTITY,CENTERED_CARDINAL_B_SPLINE_DICTIONARY,false,false,B-spline correlation 的 prime-boundary 活化階數為 $m+n+1$，並與正則性及尾界階數形成對偶。
B01-C07,RH-W-12;RH-W-13,EXACT_NUMERICAL_CERTIFICATE,FIXED_10D_DICTIONARY,false,false,指定 10 維混合正則性字典存在嚴格近零正譜帶 $10^{-8}<\lambda_{min}<5\times10^{-8}$。
B01-C08,RH-W-14;RH-W-15;RH-W-16,EXACT_PARAMETER_REGION_CERTIFICATES,SMALL_CERTIFIED_PARAMETER_BOXES,false,false,上述近零正譜可在指定二維與三維有理參數區域內被一致證明。
B01-C09,RH-W-17,EXACT_CHAMBER_COVER_CERTIFICATE,LOCAL_EVENT_4D_EQUALS_LOG2,false,false,證書可跨越指定 spline polynomial-piece 事件面，形成無洞的閉區間腔室覆蓋。
B01-C10,RH-W-18;RH-W-19;RH-W-20,BACKEND_AND_ADVERSARIAL_AUDIT,PACKAGED_ARTIFACTS_ONLY,false,false,Batch 01 的可執行證書可由統一後端重放，並可拒絕已列出的錯誤類別；但同封包串通攻擊需要外部信任根。
