source_id,kind,path,role
S01,theory,sources/theory/從歸心到等變拓樸_RH合法判定研究的思考方法與方法群_v0.1_內部稿(1).md,methodology
S02,theory,sources/theory/歸心後的等變拓樸判定域_RH除子固定點與繞數障礙重構_v0.1_內部稿(1).md,decision_domain
S03,theory,sources/theory/等變零點組態拓樸學_RH軌道型分層有效除子半環與正障礙_v0.1_內部稿(1).md,configuration_topology
S04,theory,sources/theory/層化零點障礙與局部全域提升_從有理矩形證書到全臨界帶判定_v0.1_內部稿(1).md,local_global_certificates
S05,theory,sources/theory/等變算術分離_從軌道空間局部化到Zeta顯式公式可容許測試函數_v0.1_內部稿(1).md,arithmetic_separation
S06,theory,sources/theory/顯式公式中的偏軸正障礙_零點側區域負方向質數側可計算錐與ZFC矛盾架構_v0.1_內部稿(1).md,explicit_formula_architecture
S07,package,sources/packages/RH_Regional_Phase_Shaping_v0.1(1).zip,regional_phase_shaping
S08,package,sources/packages/RH_Arithmetic_Matrix_PSD_v0.1(1).zip,arithmetic_matrix
S09,package,sources/packages/RH_Separation_Positivity_Intersection_v0.1(1).zip,floating_intersection
S10,package,sources/packages/RH_Validated_Intersection_Certificate_v0.2(1).zip,validated_intersection
S11,package,sources/packages/RH_Zero_Side_Leakage_Budget_v0.1(1).zip,leakage_diagnostic
S12,package,sources/packages/RH_Axis_Suppressed_Global_Window_Optimizer_v0.1(1).zip,axis_suppressed_optimizer
