id,route,title,gap_types,severity,status,source_node,target_node,obligation,failure_witness,verification,equivalent_risk,circularity_checked,notes
RH-W-01,Weil positivity,Fix test-function space,G-DEF|G-DOM,S1,IN_PROGRESS_PARTIAL_CLOSURE_GBUMP,Weil criterion,Legitimate explicit formula on fixed H,"Specify H, normalization, decay/support, and prove both zero and prime sides converge.",Boundary or convergence counterexample,literature audit|formal analysis,False,True,"B0 normalization fixed. GBUMP=C_c^infinity image under D(D+1) gives exact Mellin zeros at 0,1; correlation lies in C_c^infinity. Density/topology/formalization remain open."
RH-W-02,Weil positivity,Compress negative witnesses,G-CLS|G-UNI,S2,OPEN,Existence of negative witness,Negative witness in structured generator span,Construct G independent of positivity so every negative witness has a negative structured approximant.,A negative witness invisible to all proposed generators,functional analysis|counterexample search,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-W-03,Weil positivity,Arithmetic decomposition on generators,G-INT|G-ERR,S2,OPEN,Structured generator g,Q(g)=L_inf+sum_p L_p+R,Give unconditional convergence and remainder bounds.,Divergent local sum or uncontrolled remainder,explicit formula derivation|interval bounds,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-W-04,Weil positivity,Positivity on generator family,G-POS|G-EQV,S3,EQUIVALENT_RISK,Arithmetic decomposition,Q(g)>=0 for every generator,Prove positivity by an independent mechanism rather than by defining G through positivity.,One generator with Q(g)<0,symbolic proof|adversarial search,True,False,Initial atlas entry; not a claim of exhaustiveness.
RH-W-05,Weil positivity,Pass positivity to closure,G-CLS,S2,OPEN,Q>=0 on generators,Q>=0 on full H,"Specify continuity, closed-form, or another correct positivity-preserving limit theorem.",Sequence g_n with Q(g_n)>=0 but negative limit,functional analysis|Lean formalization,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-NB-01,Nyman-Beurling,Construct approximants,G-CLS|G-ERR,S2,OPEN,Nyman-Beurling equivalence,Explicit f_N approaching chi,Construct a sequence with L2 error tending to zero.,Positive lower bound on approximation error,optimization|analytic estimate,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-NB-02,Nyman-Beurling,Unconditional approximation rate,G-ERR|G-UNI,S3,EQUIVALENT_RISK,Finite-dimensional approximants,Uniform N->infinity convergence,Prove a global error bound without importing an RH-equivalent estimate.,Rate proof depends on Möbius cancellation equivalent to RH,dependency audit|asymptotic proof,True,False,Initial atlas entry; not a claim of exhaustiveness.
RH-NB-03,Nyman-Beurling,Control coefficients,G-UNI,S2,OPEN,Best finite approximants,Stable constructive approximants,Control coefficient size and conditioning.,Coefficient blow-up or unstable cancellation,numerical conditioning|functional analysis,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-NB-04,Nyman-Beurling,Finite optimization to infinite closure,G-NUM|G-CLS,S2,OPEN,Decreasing finite errors,Membership in infinite closure,Prove convergence is not a finite-sample artifact.,Finite errors plateau above zero,certified numerics|limit proof,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-LI-01,Li criterion,All-index positivity,G-POS|G-UNI,S3,EQUIVALENT_RISK,Definition of Li coefficients,lambda_n>=0 for all n,Obtain an unconditional lower bound for every n.,A negative coefficient,analytic proof|certified computation,True,False,Initial atlas entry; not a claim of exhaustiveness.
RH-LI-02,Li criterion,Positive main term dominates error,G-ERR,S2,OPEN,Coefficient formula,Uniform positivity,Decompose lambda_n=A_n+E_n with A_n positive and |E_n|<A_n unconditionally.,Error exceeds main term,asymptotic analysis|explicit bounds,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-LI-03,Li criterion,Finite positivity cannot extrapolate,G-NUM,S2,OPEN,First N coefficients positive,All coefficients positive,Supply a theorem linking finite verification and an analytic tail bound.,Late negative coefficient compatible with finite data,tail analysis|certified numerics,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-LI-04,Li criterion,Audit formula dependencies,G-CIR|G-DEP,S2,OPEN,Asymptotic or sum formula,Unconditional positivity proof,Check reordering and estimates do not assume RH.,RH-equivalent bound in ancestors,dependency graph audit,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-HP-01,Hilbert-Polya,Define Hilbert space and operator,G-DEF|G-SPC,S2,OPEN,Spectral analogy,Closed operator on explicit domain,"Specify space, domain, action, and boundary conditions.",Ill-defined or non-dense domain,operator theory|formalization,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-HP-02,Hilbert-Polya,Prove self-adjointness,G-SPC,S3,OPEN,Symmetric operator,Self-adjoint operator,Prove domain equality with adjoint or classify self-adjoint extensions.,Nonzero deficiency indices or incompatible boundary conditions,operator theory,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-HP-03,Hilbert-Polya,Exact spectral correspondence,G-COR|G-INT,S3,OPEN,Self-adjoint candidate,Spectrum exactly equals zero ordinates,"Prove both directions, multiplicities, and absence of extra spectrum without assuming RH.",Missing zero or extra eigenvalue,spectral analysis|trace formula,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-HP-04,Hilbert-Polya,Derive compatible trace formula,G-INT|G-ERR,S2,OPEN,Candidate spectrum,Riemann-Weil explicit formula,Control regularization and divergent terms.,Trace mismatch on a test function,trace formula comparison,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-HP-05,Hilbert-Polya,Avoid circular operator construction,G-CIR,S3,OPEN,Input data for operator,Non-circular spectral proof,Operator definition must not encode zeros already assumed on the critical line.,Zero sequence appears in constructor,dependency graph audit,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-DBN-01,de Bruijn-Newman,Prove terminal upper bound,G-EQV,S3,EQUIVALENT_RISK,Lambda>=0 and DBN equivalence,Lambda<=0,Establish the upper bound; this is equivalent to RH.,Any t>0 threshold behavior does not settle t=0,analytic proof,True,False,Initial atlas entry; not a claim of exhaustiveness.
RH-DBN-02,de Bruijn-Newman,Globalize local zero dynamics,G-UNI|G-DOM,S3,OPEN,Finite-height trajectories,All-height heat-flow control,Convert local trajectories and near-collisions into a uniform theorem.,Uncontrolled high zero pair,global asymptotics|energy estimates,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-DBN-03,de Bruijn-Newman,Separate lower-bound and upper-bound mechanisms,G-INT,S2,OPEN,Lehmer-pair evidence,Valid direction of inference,Classify whether each mechanism bounds Lambda below or above.,Direction reversal,logical audit,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-DBN-04,de Bruijn-Newman,Certified finite computation plus analytic tail,G-NUM|G-CER,S2,OPEN,Finite interval certificate,Global Lambda bound,Join interval arithmetic to an explicit analytic tail estimate.,Uncertified boundary or unbounded tail,interval arithmetic|tail theorem,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-EF-01,Explicit formula,Square-root cancellation,G-ERR|G-EQV,S3,EQUIVALENT_RISK,Known prime number theorem error,RH-scale error bound,Prove the required unconditional error magnitude.,Off-line zero creates larger oscillation,analytic number theory,True,False,Initial atlas entry; not a claim of exhaustiveness.
RH-EF-02,Explicit formula,Control truncation and tails,G-ERR|G-UNI,S2,OPEN,Truncated explicit formula,Uniform full formula estimate,"Control zero truncation, smoothing, and prime-side tails.",Tail exceeds target scale,explicit estimates,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-EF-03,Explicit formula,Upgrade average to pointwise,G-UNI|G-DOM,S2,OPEN,Average or density estimate,Pointwise bound for every x,Prove maximal or uniform control.,Sparse exceptional x,harmonic analysis|maximal estimates,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-EF-04,Explicit formula,Finite prime data cannot exclude high zeros,G-INT,S3,OPEN,Finite prime observations,Global zero localization,Provide an analytic bridge covering arbitrarily high zeros.,High off-line zero invisible to finite range,sensitivity analysis,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-SP-01,Speiser,Exclude all derivative zeros left of line,G-EQV|G-UNI,S3,EQUIVALENT_RISK,Speiser equivalence,No forbidden zeta-prime zeros,Prove global exclusion.,A single forbidden derivative zero,complex analysis,True,False,Initial atlas entry; not a claim of exhaustiveness.
RH-SP-02,Speiser,Local geometry to global exclusion,G-INT|G-DOM,S2,OPEN,Local level-set or phase geometry,Global derivative-zero theorem,Build a rigorous global interface.,Remote critical point,complex dynamics,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-SP-03,Speiser,Handle multiplicities,G-DOM|G-COR,S2,OPEN,Zero/critical-point relation,Multiplicity-correct correspondence,Treat multiple and near-multiple zeros.,Multiplicity mismatch,local analytic geometry,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-RMT-01,Random matrix statistics,Statistics to deterministic localization,G-INT,S3,OPEN,Pair correlations and spacing laws,No off-line zero,Prove a deterministic theorem connecting statistics to real-part localization.,Same statistics with sparse off-line exceptions,probability-to-analysis bridge,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-RMT-02,Random matrix statistics,Exclude zero-density exceptions,G-UNI|G-DOM,S3,OPEN,Almost-all statistical law,Every zero on line,Rule out an infinite density-zero exceptional set.,Sparse exceptional sequence,uniform estimates,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-RMT-03,Random matrix statistics,Exact arithmetic model correspondence,G-COR|G-SPC,S2,OPEN,Random matrix analogy,Specified spectral or limiting theorem,"State whether model is analogy, limit, or exact operator.",Model mismatch,model audit,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-AD-01,Adelic/Connes,Define spaces and regularized trace,G-DEF|G-SPC,S2,OPEN,Adelic quotient idea,Well-defined trace framework,"Fix quotient, action, measure, domain, and regularization.",Divergent or representation-dependent trace,noncommutative geometry|operator theory,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-AD-02,Adelic/Connes,Semilocal to global positivity,G-POS|G-UNI|G-CLS,S3,OPEN,Positivity for finite place set,Global Weil positivity,Pass to all places with uniform control.,Loss of positivity in limit,adelic analysis|closure theorem,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-AD-03,Adelic/Connes,Complete absorption spectrum,G-COR|G-SPC,S3,OPEN,Spectral interpretation,All and only nontrivial zeros with multiplicity,Establish exact completeness.,Missing or extra spectral point,spectral theorem,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-OD-01,Observer/deformation,Classify every operation,G-DEF|G-INV,S1,OPEN,Proposed parameterization,Correct operation class,"Separate coordinate, representation, deformation, continuation, and approximation.",Same operation receives inconsistent classes,definition audit,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-OD-02,Observer/deformation,Prove deformation is nontrivial,G-INV,S2,OPEN,Parametric family F_theta,New structure beyond coordinate pullback,Exclude invertible reparameterization explanations.,Conjugacy or pullback representation,invariant testing,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-OD-03,Observer/deformation,Connect metric to an RH condition,G-INT|G-EQV,S3,OPEN,Clarity/entropy/conditioning metric,Known necessary or sufficient RH statement,Prove an independent implication theorem.,Metric optimum with RH false in a model family,countermodel search,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-OD-04,Observer/deformation,Reparameterization invariance,G-INV,S2,OPEN,Optimal parameter claim,Intrinsic optimum,Specify natural geometry or invariant measure.,Coordinate change moves optimum arbitrarily,differential geometry audit,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-OD-05,Observer/deformation,Remove seed and data leakage,G-NUM|G-CER,S1,OPEN,Numerical zero search,Unbiased experimental result,Use independent initialization and blinded controls.,Known critical-line zeros used as seeds,experimental audit,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-NUM-01,Certified numerics,Finite height to infinity,G-NUM|G-DOM,S3,OPEN,RH verified to height T,RH for all heights,Add an analytic tail theorem; larger T alone is insufficient.,Off-line zero above T,analytic tail proof,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-NUM-02,Certified numerics,Boundary zero-free certificate,G-CER,S1,OPEN,Argument-principle contour,Rigorous integer zero count,Certify nonvanishing on boundary and integration error.,Boundary zero or enclosure containing zero,interval arithmetic,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-NUM-03,Certified numerics,Distinguish precision from rigor,G-CER,S1,OPEN,High-precision floating output,Certified numerical theorem,Use interval or ball arithmetic with explicit truncation bounds.,Rounding-sensitive sign change,reproducibility audit,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-FORM-01,Formalization,Library coverage,G-FRM,S1-S2,OPEN,Mathematical route,Formal definitions and lemmas,"Inventory xi, explicit formula, test spaces, forms, and operators.",Missing foundational object,Lean library audit,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-FORM-02,Formalization,Preserve semantics in translation,G-SEM|G-FRM,S2,OPEN,Natural-language bridge,Faithful formal proposition,Constrain translation to finite candidates and compare meanings.,Two inequivalent formalizations,semantic diff|Lean review,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-FORM-03,Formalization,Prevent hidden axioms,G-CIR|G-FRM,S2,OPEN,Downstream Lean theorem,Kernel-checked proof without sorry,Reject axioms or parameters that encode the main gap.,Main claim appears as an assumption,dependency inspection,False,False,Initial atlas entry; not a claim of exhaustiveness.
RH-FORM-04,Formalization,Audit target ancestors,G-DEP|G-CIR,S2,OPEN,Candidate bridge M,Clean dependency graph,Ensure RH and equivalents are absent from Anc(M).,Target-equivalent theorem in ancestor set,automated graph audit,False,False,Initial atlas entry; not a claim of exhaustiveness.
